revenu_min_percent,revenu_max_percent,taux_applique_prime_moyenne_percent
0.01,1.02,1.00
1.03,2.03,2.08
2.04,3.05,3.17
3.06,4.07,4.25
4.08,5.08,5.34
5.09,6.10,6.42
6.11,7.12,7.51
7.13,8.14,8.59
8.15,9.15,9.68
9.16,10.17,10.76
10.18,11.19,11.85
11.20,12.20,12.93
12.21,13.22,14.02
13.23,14.24,15.10
14.25,15.25,16.19
15.26,16.27,17.27
16.28,17.29,18.36
17.30,18.31,19.44
18.32,19.32,20.53
19.33,20.34,21.61
20.35,21.36,22.69
21.37,22.37,23.78
22.38,23.39,24.86
23.40,24.41,25.95
24.42,25.42,27.03
25.43,26.44,28.12
26.45,27.46,29.20
27.47,28.47,30.29
28.48,29.49,31.37
29.50,30.51,32.46
30.52,31.53,33.54
31.54,32.54,34.63
32.55,33.56,35.71
33.57,34.58,36.80
34.59,35.59,37.88
35.60,36.61,38.97
36.62,37.63,40.05
37.64,38.64,41.14
38.65,39.66,42.22
39.67,40.68,43.31
40.69,41.69,44.39
41.70,42.71,45.47
42.72,43.73,46.56
43.74,44.75,47.64
44.76,45.76,48.73
45.77,46.78,49.81
46.79,47.80,50.90
47.81,48.81,51.98
48.82,49.83,53.07
49.84,50.85,54.15
50.86,51.86,55.24
51.87,52.88,56.32
52.89,53.90,57.41
53.91,54.92,58.49
54.93,55.93,59.58
55.94,56.95,60.66
56.96,57.97,61.75
57.98,58.98,62.83
58.99,60.00,63.92
60.01,999,65.00
